Prioridad,Artista,Horas escuchadas,% de horas sin clasificar,Años,Canciones principales,Estado MusicBrainz,Método de coincidencia,Sugerencia inicial,Decisión final
80,DJ Roma Oficial,0.402,0.12,2019–2020–2021,Quiere Beber | Pepas RKT - Remix,not_found,no_exact_batch_result,Posible Urbano latino,
81,Franky Rizardo,0.399,0.12,2020–2022–2023–2025,Primal - Edit | Ain't Nobody | Monopoly Joystick - Original Mix,matched,exact_normalized_name,Revisar: Urbano latino o Electrónica y dance,
82,Moontalk,0.398,0.12,2024–2025,Virtual Friends | Melody (For Space Lovers) | Money (That's What I Want),matched,exact_normalized_name,,
83,Sleep Recording Sounds,0.397,0.12,2018,Sandy Beach Sounds | Beach Waves | Natural Ocean Sounds,not_found,no_exact_batch_result,,
84,ZetaDJ,0.395,0.12,2019–2020–2021–2023,Inocente | Abuso | Hoy Se Bebe,not_found,no_exact_batch_result,,
85,Pala Ancha,0.394,0.12,2023–2024–2025,De Regreso Al Penal | El Drogón | Corazón de Madre (Destapate Una Cerveza),matched,exact_normalized_name,,
86,Pickle,0.393,0.12,2019–2021–2022–2023,Journey | On The Drums | La Fiesta,matched,exact_normalized_name,,
87,Gruuve,0.393,0.11,2022,So Sweet - Extended Mix | So Sweet,matched,exact_normalized_name,Revisar: Urbano latino o Electrónica y dance,
88,Alberto Baldan Bembo,0.392,0.11,2024–2025,Blue Velvet | Linda,matched,exact_normalized_name,,
89,Jambao,0.391,0.11,2018–2023–2024–2025,Se Parece Más A Ti | Yo No Sé Mañana | La Tengo Que Olvidar,matched,exact_normalized_name,,
90,CID,0.391,0.11,2021–2022–2023–2024–2025,How We Do | Let Me Take You | Let Me Take You - Extended Mix,matched,exact_normalized_name,Revisar: Urbano latino o Electrónica y dance,
91,Leftwing : Kody,0.387,0.11,2020–2021–2022,In the Moment | Shady Love,matched,exact_normalized_name,,
92,Collective States,0.386,0.11,2020,Lonesome Ghost,matched,exact_normalized_name,,
93,Closed on Sunday,0.385,0.11,2021,love pledge and the arena ~ star wars lofi | across the stars ~ star wars lofi | cantina band ~ star wars lofi,matched,exact_normalized_name,,
94,Black Traffic,0.383,0.11,2019–2020–2021,Psilocybin,matched,exact_normalized_name,,
95,André Kraml,0.383,0.11,2023,Safari - James Holden Remix,matched,exact_normalized_name,Revisar: Urbano latino o Electrónica y dance,
96,Tenova,0.382,0.11,2018–2019–2020–2021,Pump It Up | Pump It Up - Cut Snake Remix,matched,exact_normalized_name,Revisar: Urbano latino o Electrónica y dance,
97,Dee Montero,0.380,0.11,2024–2025,Pangaea | Celeste | Shanti - Extended Mix,matched,exact_normalized_name,Revisar: Urbano latino o Electrónica y dance,
98,Matthew Dekay,0.374,0.11,2022–2024–2025,Fangtango | Lost In A Moment - Dixon Rework | Out of Order,matched,exact_normalized_name,,
99,Martin Parra,0.374,0.11,2022–2024,Shake It,matched,exact_normalized_name,,
100,The Slum Vagabunds,0.371,0.11,2020,Conspiracy,not_found,no_exact_batch_result,,
